,Angular_Velocity
0,21.48077468143254
1,10.375316499951735
2,7.127447885374961
3,25.18121255275941
4,34.675440369368054
5,40.71728276182187
6,19.982461699857975
7,33.39050528054713
8,98.044304782954
9,87.20439876560107
10,19.736781236904438
11,52.38019518406688
12,139.6272938151559
13,157.31276103084377
14,12.290925235106986
15,110.1136985708947
16,58.285689416193364
17,7.777302726149076
18,45.61727530902624
19,70.64433542452196
20,9.76322925415801
21,75.41698278226372
22,70.4505704267394
23,16.454954647669563
24,39.065109093723045
