,Angular_Velocity,Angle
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,132.2155560473196,22.035926007886598
8,47.07227117689088,7.845378529481813
9,341.557376255366,56.92622937589434
10,703.6755250851296,117.27925418085492
11,120.50039084881449,20.083398474802415
12,351.3440477401174,58.55734129001956
13,522.7903981446971,87.13173302411617
14,342.68898476009633,57.114830793349384
15,89.3537653248794,14.892294220813232
16,336.50098227430124,56.08349704571687
17,643.2149056996686,107.2024842832781
18,480.0471834397848,80.0078639066308
19,922.4788250915957,153.74647084859927
20,22.289631021036048,3.7149385035060076
21,326.8782472789629,54.479707879827146
22,208.21603722617957,34.702672871029925
23,574.8056714483744,95.80094524139572
24,444.0457326749717,74.00762211249528
25,419.4409800912844,69.90683001521407
26,409.0275454482602,68.17125757471003
27,23.662989760987113,3.9438316268311855
28,60.577357682075814,10.096226280345968
29,392.4430275676321,65.40717126127201
30,87.7281296312071,14.621354938534514
31,324.7201203692998,54.120020061549965
32,984.0022345571551,164.0003724261925
33,15.422851014991359,2.5704751691652263
34,59.49899129688068,9.916498549480114
35,584.0761402818885,97.34602338031473
36,28.937448338791146,4.822908056465191
37,471.296106608917,78.54935110148617
38,850.1153488205688,141.6858914700948
39,85.78780295689053,14.297967159481754
40,120.85313638305215,20.142189397175358
41,226.95580107663528,37.82596684610588
42,87.86065937006386,14.643443228343976
43,272.1352189837303,45.35586983062171
44,160.23798645942176,26.706331076570294
45,410.397561523151,68.39959358719183
46,80.4983192069915,13.416386534498582
47,178.37170669304913,29.728617782174855
48,162.11422113135214,27.019036855225355
49,61.68236483948317,10.280394139913861
50,448.90458655483854,74.81743109247309
51,460.0766263980306,76.6794377330051
52,171.4053601428728,28.567560023812135
53,501.6585717087498,83.6097619514583
54,485.5959142675619,80.93265237792698
55,340.0076638734282,56.667943978904695
56,109.33488539252906,18.222480898754842
57,95.99776544284491,15.999627573807484
58,83.68788056078854,13.947980093464755
59,28.88459026161954,4.81409837693659
60,2.393523320987096,0.39892055349784933
61,9.70051287017342,1.616752145028903
62,40.259359862163016,6.709893310360503
