,Angular_Velocity,Angle
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,55.285036340281884,9.214172723380313
8,66.86282381482334,11.143803969137222
9,381.82346459507374,63.63724409917895
10,290.9450006436466,48.490833440607766
11,68.35922207045333,11.393203678408886
12,735.263691887478,122.54394864791298
13,71.53597315267204,11.922662192112007
14,177.33265774109114,29.55544295684852
15,125.97722372154244,20.996203953590406
16,569.9977092001632,94.99961820002719
17,75.40344319877822,12.567240533129702
18,466.4663587005446,77.74439311675744
19,409.42637277843636,68.23772879640606
20,602.8906931110265,100.48178218517108
21,133.7605450615119,22.29342417691865
22,565.8385221574871,94.30642035958117
23,85.92093612754884,14.32015602125814
24,307.1275902359007,51.187931705983445
25,858.7933458916484,143.13222431527473
26,429.96601845929706,71.6610030765495
27,102.26367353460877,17.04394558910146
28,118.81343740965515,19.80223956827586
29,767.1737649966939,127.86229416611563
30,179.11360727441337,29.852267879068894
31,966.4277652693492,161.07129421155818
32,43.31103134238034,7.218505223730056
33,313.5318390992329,52.255306516538816
34,401.52146341647324,66.92024390274554
35,398.30983003614443,66.38497167269074
36,129.45842632651713,21.576404387752852
37,593.635308377669,98.93921806294483
38,431.5248193373967,71.92080322289945
39,428.8777166942299,71.47961944903831
40,120.70774495557947,20.117957492596577
41,274.99536959126857,45.83256159854476
42,202.10037170250928,33.683395283751544
43,168.20674035958177,28.03445672659696
44,758.71765143586,126.45294190597667
45,354.9460192906484,59.15766988177473
46,23.216908430159034,3.8694847383598385
47,150.46876262462862,25.07812710410477
48,321.95252798993147,53.65875466498857
49,4.81328457343241,0.8022140955720684
50,157.4591774953456,26.243196249224265
51,785.5917462120098,130.93195770200163
52,44.55858919272263,7.4264315321204375
53,130.07190879614262,21.67865146602377
54,180.3105351653031,30.051755860883848
55,126.72691040689624,21.121151734482705
56,57.04728704726304,9.50788117454384
57,59.01339233842578,9.83556538973763
58,30.66749760601384,5.1112496010023065
59,5.37141829130659,0.8952363818844316
60,23.281445433701744,3.880240905616957
61,31.238888906605375,5.206481484434229
62,1.1176003350470645,0.18626672250784407
