,Angular_Velocity,Angle
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,382.311533872079,63.718588978679826
8,111.89723252430852,18.64953875405142
9,714.8460945982968,119.14101576638278
10,1041.5267037250114,173.58778395416854
11,150.09567181921662,25.01594530320277
12,468.7968560989456,78.13280934982427
13,49.00790606196087,8.167984343660144
14,201.34252227836922,33.55708704639487
15,523.2857035032773,87.21428391721288
16,240.70882061447665,40.11813676907944
17,46.266076289487934,7.711012714914655
18,287.06333322079576,47.84388887013262
19,339.82587279407176,56.637645465678624
20,585.5457463934584,97.59095773224307
21,501.4101463909173,83.56835773181955
22,34.35829522388428,5.726382537314046
23,246.96947910339034,41.161579850565055
24,269.94256313976956,44.990427189961586
25,447.59251453519516,74.59875242253253
26,22.901597979802435,3.816932996633739
27,272.13521898373017,45.35586983062169
28,399.8859825393547,66.64766375655911
29,118.92024995729996,19.820041659549993
30,232.93523021717405,38.822538369529006
31,354.5565798615949,59.092763310265816
32,283.57021185765586,47.26170197627597
33,313.7430690583369,52.29051150972281
34,294.88174849910257,49.14695808318376
35,211.93242855336703,35.32207142556117
36,16.832465991334555,2.8054109985557587
37,402.086921847387,67.01448697456449
38,321.51728781604646,53.58621463600774
39,111.03033922000267,18.505056536667112
40,293.39256454509115,48.898760757515184
41,132.28768478136251,22.04794746356042
42,392.9674936461727,65.49458227436212
43,281.07026112186423,46.8450435203107
44,273.002112288035,45.50035204800583
45,256.9562992582959,42.826049876382655
46,467.4432478543378,77.90720797572297
47,162.58057563037588,27.096762605062644
48,182.97581907082616,30.49596984513769
49,122.80324454978631,20.467207424964386
50,268.72286183845034,44.78714363974172
51,359.5083494029636,59.91805823382726
52,95.37299842201915,15.895499737003192
53,40.34471980442376,6.72411996740396
54,109.50217661204734,18.250362768674556
55,42.485661078008626,7.080943513001437
56,67.6906538103392,11.281775635056533
57,91.82053271659207,15.30342211943201
58,30.032410418357394,5.005401736392899
59,31.0001616609258,5.1666936101543
60,66.15950849064176,11.02658474844029
61,53.12260569721453,8.853767616202422
62,0.0,0.0
