,Speed,Travel
0,185.7230801489142,30.953846691485698
1,245.13886370789888,40.85647728464981
2,180.0,30.0
3,360.0,60.0
4,439.5623533698039,73.26039222830065
5,85.38479080023562,14.230798466705936
6,401.8071676812146,66.96786128020243
7,145.47250599340046,24.24541766556674
8,1064.2669131848459,177.37781886414095
9,1087.4445100785608,181.2407516797601
10,1269.5694705785108,211.59491176308512
11,1175.6538141072824,195.94230235121373
12,1442.276325812776,240.37938763546262
13,191.87251627056983,31.978752711761636
14,733.8000834696065,122.30001391160108
15,1553.4961377486593,258.91602295810986
16,1246.611030955526,207.76850515925435
17,1438.0221008385095,239.67035013975158
18,1036.1539762506343,172.69232937510571
19,2080.210701467522,346.7017835779203
20,1178.8591943060885,196.47653238434808
21,1053.423258951501,175.57054315858352
22,60.75,10.125
23,3819.8615485381147,636.6435914230191
24,1331.7778530971298,221.9629755161883
25,1620.1265575565385,270.02109292608975
26,850.7055894961546,141.78426491602576
27,1468.960176451356,244.82669607522598
28,1603.1438644114248,267.1906440685708
29,2396.3082152552915,399.38470254254855
30,1208.2332401072238,201.37220668453728
31,2072.0047696916627,345.3341282819438
32,1239.5516389505524,206.59193982509206
33,1998.475981842164,333.0793303070273
34,1681.574336745182,280.26238945753033
35,1367.2784098346617,227.8797349724436
36,1710.8880917523509,285.14801529205846
37,1756.8861659196934,292.81436098661555
38,1552.0316523834165,258.67194206390275
39,1284.4649664354417,214.07749440590695
40,1445.657830366509,240.94297172775148
41,1463.1221967081235,243.8536994513539
42,1812.0017246128664,302.00028743547773
43,540.3445659946998,90.0574276657833
44,1868.3083257321312,311.3847209553552
45,467.46450400003636,77.91075066667273
46,832.1616805044563,138.69361341740938
47,1048.371836203379,174.72863936722982
48,548.4504703277944,91.40841172129906
49,1519.380059637812,253.23000993963532
50,1438.3845973869452,239.7307662311575
51,744.2042776982978,124.03404628304963
52,793.7926541470238,132.29877569117062
53,615.1687268546737,102.5281211424456
54,260.48332480218386,43.41388746703064
55,579.5593153422694,96.59321922371156
56,424.3737297477312,70.7289549579552
57,289.55828428832774,48.25971404805462
58,45.169126624277744,7.528187770712957
59,185.37057479546175,30.895095799243624
60,28.46159693341155,4.743599488901925
61,147.28564933488914,24.54760822248152
62,28.46159693341155,4.743599488901925
