,Speed,Travel
0,126.65010856687017,21.108351427811694
1,244.16707906677334,40.69451317779556
2,180.6765064971092,30.112751082851528
3,349.99008914539365,58.33168152423227
4,679.4354733894894,113.2392455649149
5,657.7910477499676,109.63184129166125
6,298.1619735982439,49.69366226637398
7,483.8290633064533,80.63817721774221
8,180.0,30.0
9,654.8818595746869,109.14697659578115
10,650.5863220972291,108.43105368287151
11,264.0086409570717,44.001440159511944
12,588.9100631675431,98.1516771945905
13,697.6310360785278,116.27183934642129
14,487.88580887334695,81.31430147889115
15,440.4657336274862,73.41095560458103
16,513.4345747025613,85.57242911709355
17,334.0884052163443,55.681400869390714
18,510.1485690463138,85.02476150771896
19,2671.134602093277,445.1891003488795
20,3396.0901140134674,566.0150190022446
21,3409.705595795626,568.2842659659376
22,20.25,3.375
23,2368.6249175418216,394.7708195903036
24,306.3396807467158,51.056613457785964
25,780.0692677576785,130.01154462627974
26,468.87524993328407,78.14587498888068
27,246.27017683836576,41.04502947306096
28,813.3893594091339,135.56489323485565
29,684.7007101646675,114.11678502744458
30,223.64606524595968,37.274344207659944
31,782.3621683721684,130.39369472869473
32,492.4663059540211,82.07771765900351
33,427.1271034481422,71.18785057469036
34,902.9984772966126,150.4997462161021
35,657.7910477499676,109.63184129166125
36,285.68350057362466,47.613916762270776
37,569.0795748399348,94.8465958066558
38,570.2960305841167,95.0493384306861
39,339.0811112403642,56.513518540060694
40,456.46714010977985,76.07785668496331
41,665.9196648245188,110.98661080408647
42,441.8599891368301,73.64333152280501
43,85.38479080023562,14.230798466705936
44,563.7765514811698,93.96275858019496
45,247.56930847744437,41.261551412907394
46,162.0,27.0
47,620.3306074183356,103.38843456972259
48,386.90187709547234,64.48364618257872
49,351.02003147968634,58.50333857994772
50,245.13886370789945,40.856477284649905
51,968.8467693603568,161.47446156005947
52,145.7403513101292,24.290058551688197
53,264.0086409570717,44.001440159511944
54,628.0685173609644,104.67808622682739
55,912.1274924592503,152.0212487432084
56,486.41134855181997,81.06855809196999
57,203.4852574512463,33.914209575207714
58,63.95750542352307,10.659584237253844
59,108.8648818490147,18.14414697483578
60,179.33488227336073,29.88914704556012
61,263.09230794532914,43.84871799088818
62,127.91501084704656,21.31916847450776
