,x,y,trust
0,646.6666666666667,320.625,2.0
1,643.3333333333334,317.25,2.0
2,643.3333333333334,317.25,2.0
3,640.0,313.875,2.0
4,636.6666666666667,313.875,2.0
5,636.6666666666667,313.875,2.0
6,633.3333333333334,313.875,2.0
7,630.0,313.875,2.0
8,623.3333333333334,313.875,2.0
9,620.0,313.875,2.0
10,616.6666666666667,317.25,2.0
11,616.6666666666667,320.625,2.0
12,613.3333333333334,327.375,2.0
13,610.0,334.125,2.0
14,603.3333333333334,334.125,2.0
15,600.0,337.5,2.0
16,600.0,344.25,2.0
17,596.6666666666667,354.375,2.0
18,593.3333333333334,357.75,2.0
19,593.3333333333334,361.125,2.0
20,593.3333333333334,367.875,2.0
21,593.3333333333334,374.625,2.0
22,593.3333333333334,381.375,2.0
23,593.3333333333334,384.75,2.0
24,593.3333333333334,388.125,2.0
25,593.3333333333334,388.125,2.0
26,596.6666666666667,391.5,2.0
27,600.0,398.25,2.0
28,603.3333333333334,401.625,2.0
29,606.6666666666667,405.0,2.0
30,610.0,405.0,2.0
31,613.3333333333334,408.375,2.0
32,616.6666666666667,408.375,2.0
33,620.0,408.375,2.0
34,630.0,411.75,2.0
35,633.3333333333334,415.125,2.0
36,640.0,415.125,2.0
37,650.0,425.25,2.0
38,660.0,421.875,2.0
39,663.3333333333334,425.25,2.0
40,676.6666666666667,428.625,2.0
41,683.3333333333334,428.625,2.0
42,686.6666666666667,432.0,2.0
43,696.6666666666667,432.0,2.0
44,710.0,435.375,2.0
45,716.6666666666667,445.5,2.0
46,726.6666666666667,448.875,2.0
47,733.3333333333335,452.25,2.0
48,746.6666666666667,459.0,2.0
49,753.3333333333335,465.75,2.0
50,763.3333333333335,479.25,2.0
51,780.0,479.25,2.0
52,793.3333333333335,489.375,2.0
53,803.3333333333335,496.125,2.0
54,810.0,496.125,2.0
55,826.6666666666667,489.375,2.0
56,830.0,496.125,2.0
57,830.0,502.875,2.0
58,826.6666666666667,506.25,2.0
59,826.6666666666667,506.25,2.0
60,823.3333333333335,509.625,2.0
61,823.3333333333335,513.0,2.0
62,820.0,513.0,2.0
63,813.3333333333335,509.625,2.0
64,823.3333333333335,519.75,2.0
65,826.6666666666667,526.5,2.0
66,823.3333333333335,523.125,2.0
67,826.6666666666667,526.5,2.0
68,830.0,529.875,2.0
69,840.0,529.875,2.0
70,850.0,533.25,2.0
71,850.0,529.875,2.0
72,856.6666666666667,529.875,2.0
73,866.6666666666667,526.5,2.0
74,876.6666666666667,526.5,2.0
75,886.6666666666667,523.125,2.0
76,903.3333333333335,519.75,2.0
77,916.6666666666667,513.0,2.0
78,923.3333333333335,509.625,2.0
79,940.0,506.25,2.0
80,950.0,509.625,2.0
81,953.3333333333335,513.0,2.0
82,953.3333333333335,509.625,2.0
83,950.0,509.625,2.0
84,953.3333333333335,516.375,2.0
85,953.3333333333335,519.75,2.0
86,946.6666666666667,516.375,2.0
87,936.6666666666667,523.125,2.0
88,930.0,526.5,2.0
89,920.0,529.875,2.0
90,906.6666666666667,529.875,2.0
91,886.6666666666667,533.25,2.0
92,876.6666666666667,543.375,2.0
93,873.3333333333335,550.125,2.0
94,853.3333333333335,553.5,2.0
95,843.3333333333335,556.875,2.0
96,830.0,560.25,2.0
97,903.3333333333335,347.625,2.0
98,880.0,496.125,2.0
99,886.6666666666667,516.375,2.0
100,896.6666666666667,482.625,2.0
101,810.0,590.625,2.0
102,803.3333333333335,594.0,2.0
103,800.0,604.125,2.0
104,790.0,617.625,2.0
105,786.6666666666667,627.75,2.0
106,793.3333333333335,627.75,2.0
107,796.6666666666667,621.0,2.0
108,796.6666666666667,624.375,2.0
