,Angular_Velocity
0,15.765287715157688
1,1.2897199605946077
2,75.16385973889126
3,36.819897810557386
4,144.12959123616687
5,242.1728784210741
6,81.12965469802248
7,94.33074119234155
8,48.6916488143588
9,776.3107964596215
10,755.4579922989656
11,82.48184939334014
12,190.97613269613925
13,328.9242935412735
14,223.93576083154423
15,129.11182416118638
16,774.9012385431851
17,898.8307842429737
18,107.9397230649287
19,389.8036019942425
20,1068.9196300131405
21,728.098833447292
22,16.542239396682373
23,801.8633079116827
24,77.60932264235721
25,427.5932136419705
26,233.729873734723
27,33.698827146747576
28,2.124807839070596
29,634.2348088469789
30,85.98992279895707
31,205.45758537921384
32,473.017739647852
33,192.1741961441371
34,155.10100062897297
35,427.56175013833274
36,187.16468808654224
37,63.18574025378821
38,555.4119767859492
39,124.48675882544993
40,55.27678103766822
41,313.23895415411613
42,108.19651335170266
43,240.8228291314786
44,376.81270059874254
45,184.10934496810262
46,156.6130321081204
47,249.2336210039286
48,111.8972325243084
49,146.4885609886997
50,211.85232059315592
51,499.17556244495506
52,7.211926222700433
53,244.9982912987597
54,384.37764894640037
55,149.0165761933634
56,79.10044423332828
57,108.27997769107618
58,24.02585807485882
59,7.226419885535211
60,25.379040352651906
61,19.11810125915297
62,16.54223939668158
