,Angular_Velocity
0,47.76616238772864
1,87.73383963877124
2,70.99736939730289
3,45.751377958378654
4,1.8379866586949485
5,19.35555327704287
6,427.7899809364346
7,111.78075677714425
8,60.9851473919731
9,528.2993478969089
10,14.101880121065706
11,33.0400668718099
12,712.5069482000619
13,28.23795118196555
14,163.05186570721307
15,149.76997299969827
16,378.62900662333215
17,332.30081416851345
18,134.66898357066535
19,1005.9172491171548
20,109.98947425315787
21,732.4742070455189
22,24.7128597623305
23,184.60449621746685
24,458.19870101935015
25,926.7212485339351
26,550.0830308993277
27,6.461237421556496
28,106.41033769686887
29,789.1229837432679
30,275.00788620921077
31,638.7944289540776
32,44.418594338627344
33,130.03954527070348
34,347.6398474011094
35,104.77832432348603
36,21.792760999731303
37,398.72688339969875
38,164.18833276912832
39,197.1944313298093
40,143.93102709686391
41,530.7160527713279
42,124.58339632854859
43,378.1319437364622
44,304.2624845123458
45,181.98440417257646
46,17.23049833669622
47,168.95650704862538
48,328.5217272427163
49,122.47773370277723
50,892.8322343707925
51,132.3155624643442
52,34.35379110426197
53,89.57216091005755
54,111.5340785621643
55,15.012164426448019
56,46.344584071492314
57,257.85808826541984
58,26.033640494735742
59,1.3967024851041574
60,11.007871276150846
61,23.925243844739455
62,6.6923366592909925
