,x,y
0,940.6770833333334,213.6796875
1,941.71875,213.837890625
2,942.8125,213.99609375
3,944.0104166666667,214.20703125
4,945.3125,214.470703125
5,946.6666666666667,214.787109375
6,948.0208333333334,215.15625
7,949.4270833333334,215.525390625
8,950.9375,215.89453125
9,952.4479166666667,216.263671875
10,954.0625000000001,216.685546875
11,955.7291666666667,217.107421875
12,957.4479166666667,217.4765625
13,959.1666666666667,217.845703125
14,960.9375,218.21484375
15,962.7604166666667,218.583984375
16,964.5833333333335,218.900390625
17,966.4583333333335,219.216796875
18,968.3854166666667,219.427734375
19,970.4166666666667,219.5859375
20,972.4479166666667,219.744140625
21,974.4791666666667,219.849609375
22,976.5625,220.0078125
23,978.6458333333334,220.11328125
24,980.7291666666667,220.271484375
25,982.8125,220.4296875
26,984.9479166666667,220.693359375
27,987.0833333333335,221.009765625
28,989.2708333333335,221.326171875
29,991.4583333333334,221.6953125
30,993.6458333333334,222.064453125
31,995.9375,222.486328125
32,998.2291666666667,222.908203125
33,1000.625,223.3828125
34,1003.0729166666667,223.857421875
35,1005.4687500000001,224.33203125
36,1007.9166666666667,224.806640625
37,1010.3645833333334,225.28125
38,1012.8125,225.755859375
39,1015.3125000000001,226.23046875
40,1017.8125,226.7578125
41,1020.3125,227.28515625
42,1022.8645833333334,227.970703125
43,1025.4166666666667,228.708984375
44,1028.0208333333335,229.5
45,1030.5208333333335,230.34375
46,1033.0208333333335,231.240234375
47,1035.4166666666667,232.34765625
48,1037.9166666666667,233.5078125
49,1040.4166666666667,234.826171875
50,1042.9166666666667,236.302734375
51,1045.3645833333335,237.884765625
52,1047.8125,239.572265625
53,1050.2083333333335,241.41796875
54,1052.5,243.369140625
55,1054.7395833333335,245.42578125
56,1056.9791666666667,247.640625
57,1059.1666666666667,250.013671875
58,1061.3541666666667,252.544921875
59,1063.4895833333335,255.181640625
60,1065.46875,257.923828125
61,1067.1354166666667,260.82421875
62,1068.6979166666667,263.830078125
63,1070.15625,267.046875
64,1071.4583333333335,270.263671875
