,x,y,trust
0,843.3333333333335,442.125,2.0
1,850.0,448.875,2.0
2,850.0,452.25,2.0
3,850.0,459.0,2.0
4,850.0,465.75,2.0
5,856.6666666666667,469.125,2.0
6,856.6666666666667,475.875,2.0
7,860.0,479.25,2.0
8,860.0,486.0,2.0
9,860.0,486.0,2.0
10,866.6666666666667,489.375,2.0
11,870.0,496.125,2.0
12,873.3333333333335,499.5,2.0
13,873.3333333333335,502.875,2.0
14,876.6666666666667,506.25,2.0
15,880.0,506.25,2.0
16,883.3333333333335,506.25,2.0
17,890.0,506.25,2.0
18,896.6666666666667,506.25,2.0
19,900.0,506.25,2.0
20,903.3333333333335,506.25,2.0
21,906.6666666666667,506.25,2.0
22,913.3333333333335,506.25,2.0
23,920.0,502.875,2.0
24,923.3333333333335,502.875,2.0
25,926.6666666666667,502.875,2.0
26,930.0,502.875,2.0
27,933.3333333333335,506.25,2.0
28,940.0,506.25,2.0
29,946.6666666666667,502.875,2.0
30,950.0,502.875,2.0
31,953.3333333333335,502.875,2.0
32,963.3333333333335,506.25,2.0
33,970.0,502.875,2.0
34,973.3333333333335,502.875,2.0
35,976.6666666666667,502.875,2.0
36,986.6666666666667,502.875,2.0
37,990.0,502.875,2.0
38,996.6666666666667,502.875,2.0
39,996.6666666666667,499.5,2.0
40,1006.6666666666667,499.5,2.0
41,1013.3333333333335,496.125,2.0
42,1016.6666666666667,492.75,2.0
43,1020.0,486.0,2.0
44,1023.3333333333335,482.625,2.0
45,1033.3333333333335,479.25,2.0
46,1040.0,479.25,2.0
47,1043.3333333333335,479.25,2.0
48,1046.6666666666667,475.875,2.0
49,1056.6666666666667,475.875,2.0
50,1063.3333333333335,475.875,2.0
51,1066.6666666666667,475.875,2.0
52,1073.3333333333335,475.875,2.0
53,1086.6666666666667,479.25,2.0
54,1093.3333333333335,482.625,2.0
55,1103.3333333333335,489.375,2.0
56,1113.3333333333335,496.125,2.0
57,1120.0,506.25,2.0
58,1130.0,509.625,2.0
59,1136.6666666666667,516.375,2.0
60,1143.3333333333335,526.5,2.0
61,1153.3333333333335,533.25,2.0
62,1160.0,536.625,2.0
63,1160.0,533.25,2.0
64,1160.0,529.875,2.0
65,1160.0,526.5,2.0
66,1160.0,526.5,2.0
67,1150.0,516.375,2.0
68,1143.3333333333335,502.875,2.0
69,1136.6666666666667,492.75,2.0
70,1123.3333333333335,482.625,2.0
71,1110.0,472.5,2.0
72,1093.3333333333335,459.0,2.0
73,1086.6666666666667,452.25,2.0
74,1070.0,438.75,2.0
75,1066.6666666666667,438.75,2.0
76,1056.6666666666667,435.375,2.0
77,1046.6666666666667,442.125,2.0
78,1043.3333333333335,442.125,2.0
79,1040.0,452.25,2.0
80,1036.6666666666667,455.625,2.0
81,1033.3333333333335,462.375,2.0
82,1036.6666666666667,475.875,2.0
83,1036.6666666666667,482.625,2.0
84,1040.0,492.75,2.0
85,1040.0,502.875,2.0
86,1043.3333333333335,519.75,2.0
87,1053.3333333333335,526.5,2.0
88,1063.3333333333335,536.625,2.0
89,1070.0,546.75,2.0
90,1080.0,550.125,2.0
91,1086.6666666666667,550.125,2.0
92,1093.3333333333335,553.5,2.0
93,1096.6666666666667,543.375,2.0
94,1106.6666666666667,540.0,2.0
95,1110.0,529.875,2.0
96,1110.0,519.75,2.0
97,1113.3333333333335,509.625,2.0
98,1110.0,506.25,2.0
99,1106.6666666666667,502.875,2.0
100,1100.0,502.875,2.0
101,1090.0,499.5,2.0
102,1086.6666666666667,499.5,2.0
103,1076.6666666666667,502.875,2.0
104,1063.3333333333335,502.875,2.0
105,1063.3333333333335,516.375,2.0
106,1046.6666666666667,519.75,2.0
107,1040.0,526.5,2.0
108,1030.0,536.625,2.0
109,1016.6666666666667,550.125,2.0
110,1000.0,560.25,2.0
111,986.6666666666667,573.75,2.0
112,970.0,594.0,2.0
113,953.3333333333335,604.125,2.0
114,943.3333333333335,624.375,2.0
115,930.0,641.25,2.0
116,920.0,654.75,2.0
117,903.3333333333335,671.625,2.0
118,896.6666666666667,688.5,2.0
119,886.6666666666667,698.625,2.0
120,880.0,718.875,2.0
121,876.6666666666667,732.375,2.0
122,880.0,742.5,2.0
123,886.6666666666667,745.875,2.0
124,896.6666666666667,756.0,2.0
125,903.3333333333335,766.125,2.0
126,920.0,769.5,2.0
127,926.6666666666667,769.5,2.0
128,940.0,776.25,2.0
129,946.6666666666667,786.375,2.0
130,946.6666666666667,786.375,2.0
131,950.0,793.125,2.0
132,950.0,796.5,2.0
133,956.6666666666667,810.0,2.0
134,963.3333333333335,813.375,2.0
135,966.6666666666667,816.75,2.0
136,966.6666666666667,813.375,2.0
137,966.6666666666667,816.75,2.0
138,966.6666666666667,820.125,2.0
139,963.3333333333335,823.5,2.0
140,963.3333333333335,826.875,2.0
141,956.6666666666667,830.25,2.0
142,953.3333333333335,823.5,2.0
143,950.0,826.875,2.0
144,946.6666666666667,820.125,2.0
145,943.3333333333335,816.75,2.0
146,943.3333333333335,816.75,2.0
147,943.3333333333335,820.125,2.0
148,940.0,823.5,2.0
149,940.0,823.5,2.0
150,940.0,826.875,2.0
151,943.3333333333335,830.25,2.0
152,943.3333333333335,830.25,2.0
153,943.3333333333335,833.625,2.0
154,943.3333333333335,826.875,2.0
155,943.3333333333335,823.5,2.0
156,943.3333333333335,823.5,2.0
157,943.3333333333335,833.625,2.0
158,916.6666666666667,816.75,2.0
159,916.6666666666667,796.5,2.0
160,896.6666666666667,796.5,2.0
161,840.0,766.125,2.0
162,803.3333333333335,749.25,2.0
163,826.6666666666667,729.0,2.0
164,836.6666666666667,712.125,2.0
165,833.3333333333335,691.875,2.0
166,843.3333333333335,678.375,2.0
167,850.0,664.875,2.0
168,873.3333333333335,658.125,2.0
169,873.3333333333335,641.25,2.0
170,1126.6666666666667,664.875,2.0
171,1116.6666666666667,668.25,2.0
172,1136.6666666666667,830.25,2.0
173,1030.0,634.5,2.0
174,983.3333333333335,695.25,2.0
175,970.0,702.0,2.0
176,,,0.0
177,1040.0,567.0,2.0
178,1046.6666666666667,573.75,2.0
179,1053.3333333333335,550.125,2.0
180,1046.6666666666667,580.5,2.0
181,1050.0,688.5,2.0
182,1040.0,671.625,2.0
183,1056.6666666666667,668.25,2.0
184,1063.3333333333335,644.625,2.0
185,1080.0,621.0,2.0
186,1073.3333333333335,607.5,2.0
187,1060.0,583.875,2.0
188,1046.6666666666667,573.75,2.0
189,1036.6666666666667,567.0,2.0
190,1030.0,563.625,2.0
191,1026.6666666666667,567.0,2.0
192,1036.6666666666667,553.5,2.0
193,986.6666666666667,594.0,2.0
194,966.6666666666667,617.625,2.0
195,963.3333333333335,634.5,2.0
196,960.0,654.75,2.0
197,946.6666666666667,671.625,2.0
198,950.0,708.75,2.0
199,953.3333333333335,732.375,2.0
200,960.0,759.375,2.0
201,973.3333333333335,769.5,2.0
202,983.3333333333335,783.0,2.0
203,993.3333333333335,806.625,2.0
204,1000.0,806.625,2.0
205,1006.6666666666667,813.375,2.0
206,1000.0,810.0,2.0
207,996.6666666666667,813.375,2.0
208,993.3333333333335,813.375,2.0
209,996.6666666666667,816.75,2.0
210,993.3333333333335,816.75,2.0
211,990.0,816.75,2.0
212,986.6666666666667,816.75,2.0
213,986.6666666666667,820.125,2.0
214,990.0,816.75,2.0
215,990.0,816.75,2.0
216,990.0,820.125,2.0
217,986.6666666666667,820.125,2.0
218,990.0,823.5,2.0
219,986.6666666666667,820.125,2.0
220,990.0,826.875,2.0
221,943.3333333333335,783.0,2.0
