,x,y,trust
0,900.0,286.875,2.0
1,900.0,286.875,2.0
2,900.0,286.875,2.0
3,900.0,286.875,2.0
4,900.0,286.875,2.0
5,900.0,286.875,2.0
6,900.0,286.875,2.0
7,900.0,286.875,2.0
8,900.0,286.875,2.0
9,900.0,286.875,2.0
10,900.0,286.875,2.0
11,900.0,286.875,2.0
12,900.0,286.875,2.0
13,900.0,286.875,2.0
14,900.0,286.875,2.0
15,900.0,286.875,2.0
16,900.0,286.875,2.0
17,900.0,286.875,2.0
18,900.0,286.875,2.0
19,900.0,286.875,2.0
20,900.0,286.875,2.0
21,900.0,286.875,2.0
22,900.0,286.875,2.0
23,900.0,286.875,2.0
24,900.0,286.875,2.0
25,900.0,286.875,2.0
26,900.0,286.875,2.0
27,900.0,286.875,2.0
28,900.0,286.875,2.0
29,900.0,286.875,2.0
30,900.0,286.875,2.0
31,900.0,286.875,2.0
32,900.0,286.875,2.0
33,900.0,286.875,2.0
34,900.0,286.875,2.0
35,900.0,286.875,2.0
36,900.0,286.875,2.0
37,900.0,286.875,2.0
38,900.0,286.875,2.0
39,896.6666666666667,286.875,2.0
40,896.6666666666667,283.5,2.0
41,896.6666666666667,286.875,2.0
42,896.6666666666667,283.5,2.0
43,896.6666666666667,286.875,2.0
44,896.6666666666667,286.875,2.0
45,896.6666666666667,286.875,2.0
46,896.6666666666667,286.875,2.0
47,896.6666666666667,286.875,2.0
48,896.6666666666667,286.875,2.0
49,900.0,286.875,2.0
50,900.0,286.875,2.0
51,900.0,286.875,2.0
52,900.0,286.875,2.0
53,900.0,286.875,2.0
54,900.0,286.875,2.0
55,900.0,286.875,2.0
56,903.3333333333335,286.875,2.0
57,903.3333333333335,286.875,2.0
58,906.6666666666667,286.875,2.0
59,910.0,286.875,2.0
60,910.0,286.875,2.0
61,916.6666666666667,286.875,2.0
62,920.0,290.25,2.0
63,920.0,290.25,2.0
64,923.3333333333335,290.25,2.0
65,926.6666666666667,290.25,2.0
66,926.6666666666667,290.25,2.0
67,930.0,290.25,2.0
68,940.0,290.25,2.0
69,940.0,290.25,2.0
70,943.3333333333335,290.25,2.0
71,946.6666666666667,290.25,2.0
72,946.6666666666667,290.25,2.0
73,950.0,290.25,2.0
74,953.3333333333335,290.25,2.0
75,956.6666666666667,290.25,2.0
76,960.0,290.25,2.0
77,966.6666666666667,286.875,2.0
78,966.6666666666667,286.875,2.0
79,970.0,286.875,2.0
80,970.0,286.875,2.0
