,x,y,trust
0,873.3333333333335,867.375,2.0
1,873.3333333333335,867.375,2.0
2,873.3333333333335,867.375,2.0
3,873.3333333333335,867.375,2.0
4,873.3333333333335,867.375,2.0
5,873.3333333333335,867.375,2.0
6,873.3333333333335,870.75,2.0
7,873.3333333333335,867.375,2.0
8,873.3333333333335,867.375,2.0
9,873.3333333333335,870.75,2.0
10,870.0,867.375,2.0
11,866.6666666666667,864.0,2.0
12,863.3333333333335,864.0,2.0
13,856.6666666666667,864.0,2.0
14,853.3333333333335,860.625,2.0
15,850.0,860.625,2.0
16,850.0,864.0,2.0
17,850.0,860.625,2.0
18,846.6666666666667,864.0,2.0
19,846.6666666666667,864.0,2.0
20,843.3333333333335,860.625,2.0
21,843.3333333333335,864.0,2.0
22,843.3333333333335,864.0,2.0
23,840.0,867.375,2.0
24,843.3333333333335,867.375,2.0
25,846.6666666666667,870.75,2.0
26,846.6666666666667,870.75,2.0
27,850.0,874.125,2.0
28,850.0,870.75,2.0
29,850.0,874.125,2.0
30,846.6666666666667,874.125,2.0
31,846.6666666666667,874.125,2.0
32,846.6666666666667,870.75,2.0
33,846.6666666666667,874.125,2.0
34,846.6666666666667,870.75,2.0
35,846.6666666666667,874.125,2.0
36,846.6666666666667,870.75,2.0
37,846.6666666666667,870.75,2.0
38,846.6666666666667,870.75,2.0
39,846.6666666666667,870.75,2.0
40,843.3333333333335,867.375,2.0
41,843.3333333333335,870.75,2.0
42,843.3333333333335,870.75,2.0
43,843.3333333333335,870.75,2.0
44,843.3333333333335,867.375,2.0
45,843.3333333333335,867.375,2.0
46,836.6666666666667,860.625,2.0
47,843.3333333333335,857.25,2.0
48,840.0,860.625,2.0
49,836.6666666666667,860.625,2.0
50,830.0,860.625,2.0
51,790.0,843.75,2.0
52,833.3333333333335,864.0,2.0
53,840.0,867.375,2.0
54,843.3333333333335,870.75,2.0
55,733.3333333333335,853.875,2.0
56,840.0,867.375,2.0
57,843.3333333333335,870.75,2.0
58,840.0,867.375,2.0
59,840.0,864.0,2.0
60,706.6666666666667,864.0,2.0
61,833.3333333333335,860.625,2.0
62,696.6666666666667,874.125,2.0
63,826.6666666666667,850.5,2.0
64,693.3333333333335,880.875,2.0
65,810.0,840.375,2.0
66,690.0,880.875,2.0
67,690.0,880.875,2.0
68,690.0,880.875,2.0
69,783.3333333333335,820.125,2.0
70,780.0,820.125,2.0
71,776.6666666666667,823.5,2.0
72,763.3333333333335,826.875,2.0
73,756.6666666666667,823.5,2.0
74,750.0,840.375,2.0
75,736.6666666666667,830.25,2.0
76,726.6666666666667,840.375,2.0
77,710.0,857.25,2.0
78,706.6666666666667,870.75,2.0
79,703.3333333333335,864.0,2.0
80,703.3333333333335,864.0,2.0
81,706.6666666666667,860.625,2.0
82,710.0,864.0,2.0
83,706.6666666666667,864.0,2.0
84,710.0,864.0,2.0
85,710.0,864.0,2.0
86,710.0,860.625,2.0
87,710.0,870.75,2.0
88,710.0,874.125,2.0
89,710.0,877.5,2.0
90,710.0,877.5,2.0
91,710.0,877.5,2.0
92,710.0,877.5,2.0
93,710.0,874.125,2.0
94,710.0,874.125,2.0
95,710.0,877.5,2.0
96,710.0,877.5,2.0
97,710.0,877.5,2.0
98,710.0,877.5,2.0
99,710.0,874.125,2.0
100,713.3333333333335,877.5,2.0
101,713.3333333333335,877.5,2.0
102,710.0,877.5,2.0
