,Angular_Velocity
0,1.8424412398707983
1,1.3056863864047459
2,2.48489728081399
3,9.474797233367555
4,28.345541759231132
5,46.57282340125559
6,27.113856154568207
7,15.598567942056519
8,16.183457574878187
9,74.57093743040053
10,14.052947149395203
11,60.66065602542947
12,10.485789795225765
13,98.32982350117366
14,150.50814959232255
15,90.83834058385263
16,4.287148713457503
17,129.228808847675
18,129.79849079809097
19,25.270828687405157
20,92.98325358385956
21,90.93725764899459
22,42.39715740048606
23,47.27619354694935
24,80.05537547852671
